pdf	median
0.0001805861	5921142.905682
0.0001804155	5932223.194272
0.0001802452	5943313.953621
0.0001800753	5954415.185206
0.0001799056	5965526.890506
0.0001797362	5976649.071000
0.0001795672	5987781.728172
0.0001793984	5998924.863504
0.0001792299	6010078.478482
0.0001790617	6021242.574592
0.0001788938	6032417.153323
0.0001787262	6043602.216166
0.0001785588	6054797.764612
0.0001783918	6066003.800155
0.0001782250	6077220.324290
0.0001780586	6088447.338513
0.0001778924	6099684.844322
0.0001777265	6110932.843219
0.0001775609	6122191.336704
0.0001773956	6133460.326280
0.0001772306	6144739.813453
0.0001770658	6156029.799729
0.0001769014	6167330.286615
0.0001767372	6178641.275622
0.0001765733	6189962.768261
0.0001764096	6201294.766044
